S.No,Crop Name,ScientificName,n,P,K,Zn,MN_Fe_B_Cu
275,Banana,Musa acuminata,High,High,High,M,M
276,Tomato,Solanum lycopersicum,High,M,M,Low,Low
277,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
278,Mango,Mangifera indica,High,High,M,Medium,Medium
279,Castor,Ricinus communis,High,M,High,Medium,Low
280,Mustard,Brassica   ,High,M,M,Low,Low
281,Cucumber,Cucumis sativus,Low,High,High,Low,Low
282,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
283,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
284,Pumpkin,Cucurbita,High,M,High,Medium,Medium
285,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
286,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
287,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
288,Sun Flower,Helianthus,High,M,M,Low,VeryLow
289,Garlic,,High,Low,High,,VeryLow
290,Peas,,High,Low,High,VeryLow,VeryLow
291,Orange,,High,Low,High,VeryLow,VeryLow
292,Celery,,High,Low,High,VeryLow,VeryLow
293,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
294,TableTomato,,High,Low,High,VeryLow,VeryLow
295,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
296,Sorghum,,M,Low,M,VeryLow,VeryLow
297,PearlMillet,,M,Low,M,VeryLow,VeryLow
298,Raagi,,Low,Low,Low,VeryLow,VeryLow
299,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
300,Barley,,Low,Low,Low,VeryLow,VeryLow
301,ChickPea,,M,Low,M,VeryLow,VeryLow
302,PigeonPea,,M,Low,Low,VeryLow,VeryLow
303,SoyaBean,,High,Low,M,VeryLow,VeryLow
304,Jute,,M,Low,M,VeryLow,VeryLow
305,Rubber,,Low,M,Low,,
306,Tea,,High,Low,M,,
307,Tobacco,,High,Low,M,,
308,Apple,,High,Low,M,,
309,CustardApple,,M,Low,M,,
310,WaterMelon,,High,Low,M,,
311,Beetroot,,High,High,High,,
312,Carrot,,High,High,M,,
313,Rice,Oryza sativum,High,M,M,High,Medium
314,Wheat,Triticum,High,Low,M,Medium,Medium
315,Maize,Zea mays,High,High,Low,Low,VeryLow
316,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
317,Coconut,Cocus nucifera,M,High,M,Low,Low
318,Chilli,Capsicum frutescens,High,M,M,Low,Low
319,Cotton,Gossypium,High,M,M,Low,Low
320,Redgram,Cajanus cajan,Low,M,Low,Low,Low
321,Onion,Allium sepa,High,M,High,High,High
322,Potato,Solanum tuberosum,High,High,High,Low,Low
323,Brinjal,Solanum melongena,High,M,M,Low,Low
324,Drumstick,Moringa oleifera,M,Low,High,Low,Low
325,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
326,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
327,Banana,Musa acuminata,High,High,High,M,M
328,Tomato,Solanum lycopersicum,High,M,M,Low,Low
329,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
330,Mango,Mangifera indica,High,High,M,Medium,Medium
331,Castor,Ricinus communis,High,M,High,Medium,Low
332,Mustard,Brassica   ,High,M,M,Low,Low
333,Cucumber,Cucumis sativus,Low,High,High,Low,Low
334,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
335,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
336,Pumpkin,Cucurbita,High,M,High,Medium,Medium
337,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
338,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
339,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
340,Sun Flower,Helianthus,High,M,M,Low,VeryLow
341,Garlic,,High,Low,High,,VeryLow
342,Peas,,High,Low,High,VeryLow,VeryLow
343,Orange,,High,Low,High,VeryLow,VeryLow
344,Celery,,High,Low,High,VeryLow,VeryLow
345,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
346,TableTomato,,High,Low,High,VeryLow,VeryLow
347,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
348,Sorghum,,M,Low,M,VeryLow,VeryLow
349,PearlMillet,,M,Low,M,VeryLow,VeryLow
350,Raagi,,Low,Low,Low,VeryLow,VeryLow
351,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
352,Barley,,Low,Low,Low,VeryLow,VeryLow
353,ChickPea,,M,Low,M,VeryLow,VeryLow
354,PigeonPea,,M,Low,Low,VeryLow,VeryLow
355,SoyaBean,,High,Low,M,VeryLow,VeryLow
356,Jute,,M,Low,M,VeryLow,VeryLow
357,Rubber,,Low,M,Low,,
358,Tea,,High,Low,M,,
359,Tobacco,,High,Low,M,,
360,Apple,,High,Low,M,,
361,CustardApple,,M,Low,M,,
362,WaterMelon,,High,Low,M,,
363,Beetroot,,High,High,High,,
364,Carrot,,High,High,M,,
365,Rice,Oryza sativum,High,M,M,High,Medium
366,Wheat,Triticum,High,Low,M,Medium,Medium
367,Maize,Zea mays,High,High,Low,Low,VeryLow
368,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
369,Coconut,Cocus nucifera,M,High,M,Low,Low
370,Chilli,Capsicum frutescens,High,M,M,Low,Low
371,Cotton,Gossypium,High,M,M,Low,Low
372,Redgram,Cajanus cajan,Low,M,Low,Low,Low
373,Onion,Allium sepa,High,M,High,High,High
374,Potato,Solanum tuberosum,High,High,High,Low,Low
375,Brinjal,Solanum melongena,High,M,M,Low,Low
376,Drumstick,Moringa oleifera,M,Low,High,Low,Low
377,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
378,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
379,Banana,Musa acuminata,High,High,High,M,M
380,Tomato,Solanum lycopersicum,High,M,M,Low,Low
381,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
382,Mango,Mangifera indica,High,High,M,Medium,Medium
383,Castor,Ricinus communis,High,M,High,Medium,Low
384,Mustard,Brassica   ,High,M,M,Low,Low
385,Cucumber,Cucumis sativus,Low,High,High,Low,Low
386,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
387,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
388,Pumpkin,Cucurbita,High,M,High,Medium,Medium
389,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
390,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
391,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
392,Sun Flower,Helianthus,High,M,M,Low,VeryLow
393,Garlic,,High,Low,High,,VeryLow
394,Peas,,High,Low,High,VeryLow,VeryLow
395,Orange,,High,Low,High,VeryLow,VeryLow
396,Celery,,High,Low,High,VeryLow,VeryLow
397,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
398,TableTomato,,High,Low,High,VeryLow,VeryLow
399,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
400,Sorghum,,M,Low,M,VeryLow,VeryLow
401,PearlMillet,,M,Low,M,VeryLow,VeryLow
402,Raagi,,Low,Low,Low,VeryLow,VeryLow
403,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
404,Barley,,Low,Low,Low,VeryLow,VeryLow
405,ChickPea,,M,Low,M,VeryLow,VeryLow
406,PigeonPea,,M,Low,Low,VeryLow,VeryLow
407,SoyaBean,,High,Low,M,VeryLow,VeryLow
408,Jute,,M,Low,M,VeryLow,VeryLow
409,Rubber,,Low,M,Low,,
410,Tea,,High,Low,M,,
411,Tobacco,,High,Low,M,,
412,Apple,,High,Low,M,,
413,CustardApple,,M,Low,M,,
414,WaterMelon,,High,Low,M,,
415,Beetroot,,High,High,High,,
416,Carrot,,High,High,M,,
417,Rice,Oryza sativum,High,M,M,High,Medium
418,Wheat,Triticum,High,Low,M,Medium,Medium
419,Maize,Zea mays,High,High,Low,Low,VeryLow
420,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
421,Coconut,Cocus nucifera,M,High,M,Low,Low
422,Chilli,Capsicum frutescens,High,M,M,Low,Low
423,Cotton,Gossypium,High,M,M,Low,Low
424,Redgram,Cajanus cajan,Low,M,Low,Low,Low
425,Onion,Allium sepa,High,M,High,High,High
426,Potato,Solanum tuberosum,High,High,High,Low,Low
427,Brinjal,Solanum melongena,High,M,M,Low,Low
428,Drumstick,Moringa oleifera,M,Low,High,Low,Low
429,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
430,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
431,Banana,Musa acuminata,High,High,High,M,M
432,Tomato,Solanum lycopersicum,High,M,M,Low,Low
433,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
434,Mango,Mangifera indica,High,High,M,Medium,Medium
435,Castor,Ricinus communis,High,M,High,Medium,Low
436,Mustard,Brassica   ,High,M,M,Low,Low
437,Cucumber,Cucumis sativus,Low,High,High,Low,Low
438,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
439,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
440,Pumpkin,Cucurbita,High,M,High,Medium,Medium
441,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
442,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
443,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
444,Sun Flower,Helianthus,High,M,M,Low,VeryLow
445,Garlic,,High,Low,High,,VeryLow
446,Peas,,High,Low,High,VeryLow,VeryLow
447,Orange,,High,Low,High,VeryLow,VeryLow
448,Celery,,High,Low,High,VeryLow,VeryLow
449,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
450,TableTomato,,High,Low,High,VeryLow,VeryLow
451,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
452,Sorghum,,M,Low,M,VeryLow,VeryLow
453,PearlMillet,,M,Low,M,VeryLow,VeryLow
454,Raagi,,Low,Low,Low,VeryLow,VeryLow
455,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
456,Barley,,Low,Low,Low,VeryLow,VeryLow
457,ChickPea,,M,Low,M,VeryLow,VeryLow
458,PigeonPea,,M,Low,Low,VeryLow,VeryLow
459,SoyaBean,,High,Low,M,VeryLow,VeryLow
460,Jute,,M,Low,M,VeryLow,VeryLow
461,Rubber,,Low,M,Low,,
462,Tea,,High,Low,M,,
463,Tobacco,,High,Low,M,,
464,Apple,,High,Low,M,,
465,CustardApple,,M,Low,M,,
466,WaterMelon,,High,Low,M,,
467,Beetroot,,High,High,High,,
468,Carrot,,High,High,M,,
469,Rice,Oryza sativum,High,M,M,High,Medium
470,Wheat,Triticum,High,Low,M,Medium,Medium
471,Maize,Zea mays,High,High,Low,Low,VeryLow
472,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
473,Coconut,Cocus nucifera,M,High,M,Low,Low
474,Chilli,Capsicum frutescens,High,M,M,Low,Low
475,Cotton,Gossypium,High,M,M,Low,Low
476,Redgram,Cajanus cajan,Low,M,Low,Low,Low
477,Onion,Allium sepa,High,M,High,High,High
478,Potato,Solanum tuberosum,High,High,High,Low,Low
479,Brinjal,Solanum melongena,High,M,M,Low,Low
480,Drumstick,Moringa oleifera,M,Low,High,Low,Low
481,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
482,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
483,Banana,Musa acuminata,High,High,High,M,M
484,Tomato,Solanum lycopersicum,High,M,M,Low,Low
485,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
486,Mango,Mangifera indica,High,High,M,Medium,Medium
487,Castor,Ricinus communis,High,M,High,Medium,Low
488,Mustard,Brassica   ,High,M,M,Low,Low
489,Cucumber,Cucumis sativus,Low,High,High,Low,Low
490,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
491,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
492,Pumpkin,Cucurbita,High,M,High,Medium,Medium
493,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
494,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
495,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
496,Sun Flower,Helianthus,High,M,M,Low,VeryLow
497,Garlic,,High,Low,High,,VeryLow
498,Peas,,High,Low,High,VeryLow,VeryLow
499,Orange,,High,Low,High,VeryLow,VeryLow
500,Celery,,High,Low,High,VeryLow,VeryLow
501,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
502,TableTomato,,High,Low,High,VeryLow,VeryLow
503,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
504,Sorghum,,M,Low,M,VeryLow,VeryLow
505,PearlMillet,,M,Low,M,VeryLow,VeryLow
506,Raagi,,Low,Low,Low,VeryLow,VeryLow
507,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
