Block No,Sample No,PH,EC,N(kg/ha),P(kg/ha),K(kg/ha),OC,Avg Rain,Max Temp,Min Temp,Soil Type,EC Rate,PHRate,MN_Fe_B_Cu,Zn,N,P,K
B25,2204,8.3,0.1,133,19,104,L,949,36,23,R,HL,Alkaline,Low,High,Low,M,High
B26,2204,5.1,,,,,L,949,36,23,R,HL,Acidic,High,Low,Low,M,Low
B27,2204,6.5,0.16,189,55.76,150,L,618,36,23,R,HL,Normal,High,Low,Low,M,High
B28,2204,7.8,0.28,245,55,196,L,618,36,23,R,HL,Alkaline,High,Low,Low,M,High
B29,2204,7.9,,,,,L,745,36,23,R,HL,Alkaline,High,Low,Low,Low,M
B30,2204,8.1,0.16,173,34,142,L,745,36,23,R,HL,Alkaline,Low,Low,Low,Low,M
B31,2204,6.9,,,,,L,938,36,23,R,HL,Alkaline,High,Low,Low,High,M
B32,2204,7.7,0.1,133,34,123,L,938,36,23,R,HL,Alkaline,High,M,Low,High,High
B33,2204,7,,,,,L,841.9,36,23,R,HL,Alkaline,High,Low,Low,High,M
B34,2204,6.8,,,,,L,841.9,36,23,R,HL,Alkaline,High,Low,Low,High,M
Attur,2207,8.3,0.5,223,22.71,208,M,949,36,23,L,HL,Alkaline,High,VeryLow,Low,M,M
Salem,2207,8.2,0.33,202,19.59,195,M,949,36,23,L,HL,Alkaline,High,VeryLow,Low,M,M
Vazhapadi,2207,8.16,0.33,182,20.28,191,M,949,36,23,L,HL,Alkaline,High,VeryLow,Low,M,M
Gangavalli,2207,8.08,0.41,185,22.44,207,M,949,36,23,L,HL,Alkaline,High,VeryLow,Low,High,M
Omalur,2207,8.3,0.39,175,24.46,193,L,949,36,23,L,HL,Alkaline,High,VeryLow,Low,High,M
Mettur,2207,8.42,0.3,181,23.08,162,L,949,36,23,L,HL,Alkaline,M,VeryLow,Low,High,M
Edapadi,2207,8.34,0.24,197,13.21,254,M,949,36,23,L,HL,Alkaline,Low,VeryLow,Low,M,M
Sankari,2207,8.16,0.17,179,28,176,H,949,36,23,L,HL,Alkaline,M,Low,Low,High,M
Yercaud,2207,6.35,0.16,200,58.21,310,M,949,36,23,L,HL,Acidic,High,M,Low,M,High
B43,2219,6.79,,,,,L,1009.5,36,23,R,HL,Normal,High,High,High,High,High
B44,2219,7.26,,,,,L,1009.5,36,23,R,HL,Normal,M,M,High,High,High
B45,2219,6.99,,,,,L,1009.5,36,23,R,HL,Normal,High,High,High,M,High
B46,2219,5.63,,,,,L,1009.5,36,23,R,HL,Acidic,High,High,High,Low,M
B47,2219,6.09,,,,,L,1009.5,36,23,R,HL,Acidic,High,High,High,M,M
B48,2220,7.5,,,,,L,1009.5,36,23,R,HL,Normal,M,M,High,High,High
B49,2232,8.77,,,,,L,1009.5,36,23,R,HL,Alkaline,Low,Low,Low,High,High
B50,2232,8,,,,,L,1009.5,36,23,R,HL,Alkaline,Low,M,High,M,High
B51,2232,6.95,,,,,L,1009.5,36,23,R,HL,Normal,M,High,High,High,High
B52,2232,7.12,,,,,L,1009.5,36,23,R,HL,Normal,M,M,M,High,High
B53,2232,8.25,,,,,L,1009.5,36,23,R,HL,Alkaline,Low,M,M,M,High
B54,2232,8.32,,,,,L,1009.5,36,23,R,HL,Alkaline,Low,M,M,M,High
B55,2232,9.11,,,,,M,963,36,23,R,HL,Alkali,Low,Low,Low,High,High
B56,2232,8.94,,,,,L,963,36,23,R,HL,Alkali,Low,Low,M,High,High
B57,2232,7.27,,,,,M,963,36,23,R,HL,Normal,High,High,High,High,High
B58,2232,6.61,,,,,M,963,36,23,R,HL,Normal,High,High,High,High,High
B59,2232,9.25,,,,,M,963,36,23,R,HL,Alkali,Low,Low,Low,High,High
B60,2232,5.07,,,,,M,963,36,23,R,HL,Acidic,High,High,M,Low,M
B61,2232,7.42,,,,,L,963,36,23,R,HL,Normal,High,High,High,High,High
B62,2232,8.87,,,,,L,963,36,23,R,HL,Alkali,Low,Low,M,High,High
B63,2232,4.98,,,,,L,963,36,23,R,HL,Acidic,High,High,Low,Low,Low
B64,2232,5.87,,,,,L,963,36,23,R,HL,Acidic,High,High,High,M,High
B65,2232,9.61,,,,,L,963,36,23,R,HL,Alkali,Low,Low,Low,High,High
A1,2232,7.2,,,,,M,963,36,23,L,HL,Normal,M,High,M,High,High
A2,2232,8.65,,,,,L,963,36,23,L,HL,Alkali,Low,M,M,M,High
A3,2232,6.87,,,,,L,963,36,23,L,HL,Normal,M,High,High,M,High
A4,2232,9,,,,,L,963,36,23,L,HL,Alkali,Low,Low,Low,High,M
A5,2232,7.32,,,,,L,963,36,23,L,HL,Normal,M,High,M,M,M
A6,2232,7.81,,,,,M,963,36,23,L,HL,Alkaline,Low,M,M,M,High
A7,2232,8.07,,,,,M,963,36,23,L,HL,Alkaline,M,M,High,M,M
A8,2232,6.98,,,,,L,963,36,23,L,HL,Normal,M,High,High,High,High
A9,2232,5.4,,,,,L,963,36,23,L,HL,Acidic,High,High,M,Low,M
A10,2232,9.43,,,,,L,963,36,23,L,HL,Alkali,Low,M,Low,High,M
A11,2232,6,,,,,M,963,36,23,L,HL,Acidic,High,High,High,Low,M
A12,2232,7.3,,,,,L,963,36,23,L,HL,Normal,Low,M,High,High,M
A13,2232,8.36,,,,,M,963,36,23,L,HL,Alkaline,Low,M,M,M,M
A14,2232,5.98,,,,,L,963,36,23,L,HL,Acidic,High,High,M,Low,M
A15,2232,9.02,,,,,L,963,36,23,L,HL,Alkali,Low,Low,Low,High,High
A16,2232,6.23,,,,,L,963,36,23,L,HL,Acidic,High,High,High,Low,M
A17,2232,6.54,,,,,L,963,36,23,L,HL,Normal,M,High,M,High,M
A18,2204,7.34,,,,,L,963,36,23,L,HL,Normal,M,High,M,M,M
A19,2204,6.67,,,,,L,963,36,23,L,HL,Normal,M,High,High,High,M
A20,2204,8.14,,,,,L,963,36,23,L,HL,Alkaline,Low,Low,M,M,High
A21,2204,6.2,,,,,L,963,36,23,L,HL,Acidic,High,High,M,Low,High
A22,2204,9.32,,,,,L,963,36,23,L,HL,Alkali,Low,Low,Low,High,M
A23,2204,7.44,,,,,L,963,36,23,L,HL,Normal,Low,M,High,M,M
A24,2204,5.99,,,,,L,963,36,23,L,HL,Acidic,High,High,High,Low,M
A25,2204,8.18,,,,,L,963,36,23,L,HL,Alkaline,Low,Low,High,M,M
A26,2204,8.47,,,,,L,963,36,23,L,HL,Normal,Low,VeryLow,M,M,High
A27,2204,7.98,,,,,L,963,36,23,L,HL,Alkaline,Low,M,M,M,M
A28,2204,9.25,,,,,L,963,36,23,L,HL,Alkali,Low,Low,Low,High,M
A29,2204,6.44,,,,,L,963,36,23,L,HL,Acidic,M,High,High,M,M
A30,2204,7.26,,,,,L,963,36,23,L,HL,Normal,Low,M,M,High,M
A31,2204,8.78,,,,,L,963,36,23,L,HL,Alkali,Low,Low,Low,M,High
A32,2204,6.78,,,,,L,963,36,23,L,HL,Normal,M,High,M,M,M
A33,2204,7.79,,,,,L,963,36,23,L,HL,Alkaline,Low,M,M,M,M
